date,nuclear,geo,bio,hydro,wind,solar,demand
2248,86379074.33,2135210.003,36517906.06,12077065.68,78076086.94,38211137,190220291.7
2249,86679814.51,2142611.944,36635739.53,12107939.52,78395930.54,38371410.14,190256431.5
2250,86980554.69,2150013.884,36753572.99,12138813.36,78715774.14,38531683.29,190292346.1
2251,87281294.86,2157415.825,36871406.46,12169687.2,79035617.74,38691956.43,190328037.6
2252,87582035.04,2164817.766,36989239.92,12200561.04,79355461.34,38852229.57,190363508.1
2253,87882775.22,2172219.707,37107073.39,12231434.88,79675304.94,39012502.71,190398759.6
2254,88183515.4,2179621.648,37224906.85,12262308.72,79995148.54,39172775.86,190433794.2
2255,88484255.58,2187023.588,37342740.31,12293182.56,80314992.14,39333049,190468613.9
2256,88784995.76,2194425.529,37460573.78,12324056.4,80634835.74,39493322.14,190503220.6
2257,89085735.94,2201827.47,37578407.24,12354930.24,80954679.34,39653595.29,190537616.2
2258,89386476.11,2209229.411,37696240.71,12385804.08,81274522.93,39813868.43,190571802.8
2259,89687216.29,2216631.351,37814074.17,12416677.92,81594366.53,39974141.57,190605782.2
2260,89987956.47,2224033.292,37931907.64,12447551.76,81914210.13,40134414.71,190639556.2
2261,90288696.65,2231435.233,38049741.1,12478425.59,82234053.73,40294687.86,190673126.8
2262,90589436.83,2238837.174,38167574.56,12509299.43,82553897.33,40454961,190706495.8
2263,90890177.01,2246239.115,38285408.03,12540173.27,82873740.93,40615234.14,190739664.9
2264,91190917.19,2253641.055,38403241.49,12571047.11,83193584.53,40775507.29,190772636
2265,91491657.36,2261042.996,38521074.96,12601920.95,83513428.13,40935780.43,190805410.8
2266,91792397.54,2268444.937,38638908.42,12632794.79,83833271.73,41096053.57,190837991.2
2267,92093137.72,2275846.878,38756741.89,12663668.63,84153115.33,41256326.71,190870378.7
2268,92393877.9,2283248.818,38874575.35,12694542.47,84472958.93,41416599.86,190902575.2
2269,92694618.08,2290650.759,38992408.81,12725416.31,84792802.53,41576873,190934582.2
2270,92995358.26,2298052.7,39110242.28,12756290.15,85112646.13,41737146.14,190966401.5
2271,93296098.44,2305454.641,39228075.74,12787163.99,85432489.73,41897419.29,190998034.8
2272,93596838.61,2312856.582,39345909.21,12818037.83,85752333.33,42057692.43,191029483.6
2273,93897578.79,2320258.522,39463742.67,12848911.67,86072176.92,42217965.57,191060749.5
2274,94198318.97,2327660.463,39581576.14,12879785.51,86392020.52,42378238.71,191091834.2
2275,94499059.15,2335062.404,39699409.6,12910659.34,86711864.12,42538511.86,191122739.2
2276,94799799.33,2342464.345,39817243.06,12941533.18,87031707.72,42698785,191153466.1
2277,95100539.51,2349866.285,39935076.53,12972407.02,87351551.32,42859058.14,191184016.3
2278,95401279.69,2357268.226,40052909.99,13003280.86,87671394.92,43019331.29,191214391.5
2279,95702019.86,2364670.167,40170743.46,13034154.7,87991238.52,43179604.43,191244593.1
2280,96002760.04,2372072.108,40288576.92,13065028.54,88311082.12,43339877.57,191274622.7
2281,96303500.22,2379474.049,40406410.39,13095902.38,88630925.72,43500150.71,191304481.6
2282,96604240.4,2386875.989,40524243.85,13126776.22,88950769.32,43660423.86,191334171.3
2283,96904980.58,2394277.93,40642077.31,13157650.06,89270612.92,43820697,191363693.2
2284,97205720.76,2401679.871,40759910.78,13188523.9,89590456.52,43980970.14,191393048.9
2285,97506460.94,2409081.812,40877744.24,13219397.74,89910300.12,44141243.29,191422239.6
2286,97807201.11,2416483.752,40995577.71,13250271.58,90230143.72,44301516.43,191451266.8
2287,98107941.29,2423885.693,41113411.17,13281145.42,90549987.31,44461789.57,191480131.8
2288,98408681.47,2431287.634,41231244.64,13312019.26,90869830.91,44622062.71,191508836
2289,98709421.65,2438689.575,41349078.1,13342893.09,91189674.51,44782335.86,191537380.8
2290,99010161.83,2446091.516,41466911.56,13373766.93,91509518.11,44942609,191565767.4
2291,99310902.01,2453493.456,41584745.03,13404640.77,91829361.71,45102882.14,191593997.1
2292,99611642.19,2460895.397,41702578.49,13435514.61,92149205.31,45263155.29,191622071.3
2293,99912382.36,2468297.338,41820411.96,13466388.45,92469048.91,45423428.43,191649991.3
