,Year,EnergyConsumption
440,2457.0,194797938.903726
441,2458.0,194811146.5568598
442,2459.0,194824304.36885598
443,2460.0,194837412.6213082
444,2461.0,194850471.59369278
445,2462.0,194863481.56338868
446,2463.0,194876442.80569702
447,2464.0,194889355.5938606
448,2465.0,194902220.199083
449,2466.0,194915036.8905477
450,2467.0,194927805.93543667
451,2468.0,194940527.5989492
452,2469.0,194953202.14431992
453,2470.0,194965829.8328373
454,2471.0,194978410.92386138
455,2472.0,194990945.6748416
456,2473.0,195003434.34133434
457,2474.0,195015877.17702034
458,2475.0,195028274.43372175
459,2476.0,195040626.36141935
460,2477.0,195052933.20826912
461,2478.0,195065195.22061893
462,2479.0,195077412.64302504
463,2480.0,195089585.7182683
464,2481.0,195101714.68737027
465,2482.0,195113799.78960907
466,2483.0,195125841.26253518
467,2484.0,195137839.34198692
468,2485.0,195149794.262106
469,2486.0,195161706.25535253
470,2487.0,195173575.55252028
471,2488.0,195185402.38275152
472,2489.0,195197186.97355172
473,2490.0,195208929.55080426
474,2491.0,195220630.33878466
475,2492.0,195232289.56017506
476,2493.0,195243907.43607825
477,2494.0,195255484.1860317
478,2495.0,195267020.02802125
479,2496.0,195278515.17849502
480,2497.0,195289969.8523767
481,2498.0,195301384.26307917
482,2499.0,195312758.6225176
483,2500.0,195324093.14112258
484,2501.0,195335388.0278532
485,2502.0,195346643.4902098
486,2503.0,195357859.73424664
487,2504.0,195369036.96458468
488,2505.0,195380175.3844237
489,2506.0,195391275.1955549
490,2507.0,195402336.598373
491,2508.0,195413359.79188818
492,2509.0,195424344.97373813
493,2510.0,195435292.34019995
494,2511.0,195446202.0862016
495,2512.0,195457074.4053337
496,2513.0,195467909.4898608
497,2514.0,195478707.5307329
498,2515.0,195489468.7175965
499,2516.0,195500193.23880574
